Unnamed: 0.1,Unnamed: 0,Rodada,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,HomeTeam,AwayTeam,HS,AS,HST,AST,B365H,B365D,B365A
41,41,Regular season,5.0,dom,2021-09-12,18:00,Boavista,0.8,0.8,Portimonense,2416,Estádio do Bessa Século XXI,André Narciso,/pt/partidas/aaa49fe1/Boavista-Portimonense-2021Setembro12-Primeira-Liga,1,1,3-4-3,4-1-4-1,17.0,14.0,9.0,2.0,26.0,9.0,555.0,574.0,15.0,16.0,6.0,10.0,11.0,22.0,0.0,0.0,5.0,8.0,73.0,82.0,3.0,0.0,0.0,5.0,0.0,0.0,Rafael Bracalli,Kenji Gorré,Gustavo Sauer,Petar Musa,Jackson Porozo,Nathan,Sebastián Pérez Cardona,Yanis Hamache,Rodrigo Abascal,Gaius Makouta,Pedro Malheiro,João Gonçalves,Miguel Reisinho,Yusupha Njie,Guito,Tomás Reymão,Ilija Vukotić,Filipe Ferreira,Paul-Georges Ntep,Samuel Portugal,Lucas Possignolo,Willyan,Fali Candé,Ewerton,Anderson,Fahd Moufi,Wilinton Aponzá,Pedrão,Iván Angulo,Carlinhos,Ricardo Abel Barbosa Ferreira,Henrique Jocú,Lucas Fernandes,Luquinha,Pedro Sá,Filipe Relvas,Giannelli Imbula,Aylton Boa Morte,Boavista,Portimonense,11.0,7.0,3.0,3.0,2.4,3.1,2.87
42,42,Regular season,5.0,dom,2021-09-12,20:30,Guimaraes,0.7,1.2,Belenenses,10462,Estádio Dom Afonso Henriques,Hélder Malheiro,/pt/partidas/2012c816/Vitoria-Guimaraes-Belenenses-SAD-2021Setembro12-Primeira-Liga,0,0,4-3-3,3-4-3,18.0,17.0,5.0,7.0,26.0,21.0,454.0,652.0,12.0,14.0,10.0,4.0,21.0,23.0,3.0,0.0,11.0,3.0,55.0,66.0,5.0,1.0,1.0,4.0,0.0,0.0,Matouš Trmal,Toni Borevkovic,Rafa Soares,Abdul Mumin,Ricardo Quaresma,Marcus Edwards,André André,Falaye Sacko,Oscar Estupiñan,Alfa Semedo,Tiago Silva,Bruno Varela,Rúben Lameiras,Bruno Duarte,Rochinha,Gui Guedes,João Ferreira,Jorge Filipe Oliveira Fernandes,Domingos André Ribeiro Almeida,Luiz Felipe,Tomás Ribeiro,Afonso Sousa,Danny Henriques,César Sousa,Carraça,Francisco Chico,Safira,Chima Akas,Yohan Tavares,Rafael Camacho,Álvaro Ramalho,Diogo Calila,Nilton Varela,Pedro Nuno,Sphephelo Sithole,Andrija Luković,Alioune Ndour,Christian Marques,Guimaraes,Belenenses,10.0,16.0,3.0,6.0,1.5,4.0,6.0
43,43,Regular season,5.0,seg,2021-09-13,19:00,Maritimo,2.6,1.4,Arouca,2056,Estádio dos Barreiros,Manuel Oliveira,/pt/partidas/764cfbce/Maritimo-Arouca-2021Setembro13-Primeira-Liga,2,2,4-3-3,4-2-3-1,18.0,19.0,5.0,2.0,17.0,21.0,551.0,578.0,21.0,31.0,7.0,12.0,20.0,10.0,1.0,2.0,12.0,8.0,100.0,66.0,5.0,0.0,1.0,6.0,0.0,0.0,Paulo Victor Vidotti,Cláudio Winck,Zainadine Júnior,André Vidigal,Ali Alipour,Iván Rossi,Diogo Mendes,Xadas,Ricardinho,Léo Andrade,Vitor Costa,João Miguel Macedo Silva,Rafik Guitane,Edgar Costa,Jorge Sáenz,Rúben Macedo,Fábio China,Pedro Pelágio,Rodrigo Andrad,Fernando Castro,Quaresma,André Silva,André Bukia,João Othavio Basso,Pedro Manuel da Silva Moreira,Leandro Miguel Pereira Silva,Eugeni Valderrama,Abdoulaye Ba,Thales Oleques,Tiago Araújo,Victor Braga,Brunão,Arsénio Martins Lafuente Nunes,Adílio Santos,Pité,Oday Dabbagh,Eboue Kouassi,Or Dasa,Maritimo,Arouca,14.0,17.0,6.0,3.0,2.0,3.25,3.75
44,44,Regular season,5.0,seg,2021-09-13,21:15,Tondela,1.5,0.7,Estoril,477,Estádio João Cardoso,Cláudio Ruivo Pereira,/pt/partidas/3964cc71/Tondela-Estoril-2021Setembro13-Primeira-Liga,1,2,4-4-2,4-3-3,18.0,24.0,6.0,5.0,24.0,22.0,554.0,440.0,20.0,13.0,12.0,15.0,22.0,18.0,1.0,0.0,6.0,13.0,74.0,87.0,2.0,0.0,0.0,7.0,0.0,0.0,Babacar Niasse,Jota Gonçalves,Modibo Sagnan,Salvador Agra,João Pedro,Juan Manuel Boselli,Renat Dadaşov,Tiago Melo Almeida,Iker Undabarrena,Naoufel Khacef,Daniel,Pedro Trigueira,Neto Borges,Pedro Borges,Jhon Murillo,Manu Hernando,Bebeto,Tiago Dantas,Ricardo Miguel Martins Alves,Daniel Leite,Carles Soria,Lucas Áfrico,Francisco Geraldes,Chiquinho,André Franco,Leonardo Ruíz,Bruno Lourenço,João Gamboa,Joãozinho,Patrick,Mosquito,Bernardo Vital,André Clóvis,Arthur,Rui Fonte,David Bruno,Loreintz Rosier,Romário Baró,Tondela,Estoril,20.0,11.0,5.0,4.0,2.87,3.2,2.3
45,45,Regular season,6.0,sex,2021-09-17,20:15,Portimonense,0.8,1.5,Santa Clara,942,Estádio do Portimonense SC,Luís Godinho,/pt/partidas/3a199476/Portimonense-Santa-Clara-2021Setembro17-Primeira-Liga,2,1,4-5-1,4-4-2,21.0,11.0,4.0,2.0,12.0,15.0,530.0,546.0,17.0,15.0,11.0,18.0,13.0,10.0,4.0,1.0,11.0,7.0,87.0,78.0,4.0,0.0,0.0,3.0,0.0,0.0,Samuel Portugal,Willyan,Fali Candé,Ewerton,Lucas Fernandes,Fahd Moufi,Wilinton Aponzá,Pedrão,Iván Angulo,Carlinhos,Aylton Boa Morte,Ricardo Abel Barbosa Ferreira,Lucas Possignolo,Anderson,Luquinha,Pedro Sá,Achraf Lazaar,Giannelli Imbula,Renato Junior,Marco André Rocha Pereira,Rafael Ramos,Kennedy Boateng,Mansur,Allano,Anderson Carvalho,Lincoln,Cristian González,Julio Romão,Rui Costa,Ricardinho,Ricardo Fernandes,João Afonso,Mohamed Bouldini,Paulo Henrique Rodrigues Cabral,Rui Filipe Cunha Correia,Jean Patric,Mohammad Mohebbi,,Portimonense,Santa Clara,10.0,13.0,4.0,2.0,2.2,3.1,3.3
46,46,Regular season,6.0,sáb,2021-09-18,15:30,Famalicao,2.7,0.3,Maritimo,2014,Estádio Municipal 22 de Junho,Vitor Ferreira Fernandes,/pt/partidas/8f65225a/Famalicao-Maritimo-2021Setembro18-Primeira-Liga,0,0,4-2-3-1,4-2-3-1,20.0,20.0,7.0,5.0,28.0,17.0,585.0,502.0,19.0,29.0,12.0,8.0,15.0,27.0,0.0,3.0,3.0,14.0,79.0,98.0,3.0,0.0,0.0,3.0,0.0,0.0,Dalberson,Alex,Adrián Marín,Charles Pickel,Ivo Rodrigues,Marcos Paulo,Ivan Jaime Pajuelo,Simon Banza,Alexandre Penetra,Pedro Rodrigues,Diogo Figueiras,Luiz Lúcio Reis Júnior,Rúben Lima,Pedro Brazão,Bruno Nascimento,Riccieli,David Tavares,Hernán De La Fuente,Pedro David Rosendo Marques,Paulo Victor Vidotti,Cláudio Winck,Zainadine Júnior,Ali Alipour,Diogo Mendes,Xadas,Ricardinho,Fábio China,Pedro Pelágio,Léo Andrade,Henrique,João Miguel Macedo Silva,Rafik Guitane,Edgar Costa,Iván Rossi,Jorge Sáenz,Rúben Macedo,Clésio Baúque,Rodrigo Andrad,Famalicao,Maritimo,16.0,2.0,4.0,0.0,2.0,3.3,3.6
47,47,Regular season,6.0,sáb,2021-09-18,18:00,Belenenses,0.6,0.8,Gil Vicente,673,Estádio Dr. Magalhães Pessoa,Miguel Nogueira,/pt/partidas/2fb60c6f/Belenenses-SAD-Gil-Vicente-FC-2021Setembro18-Primeira-Liga,1,1,3-4-3,4-3-3,19.0,15.0,4.0,7.0,18.0,21.0,536.0,627.0,18.0,14.0,8.0,4.0,32.0,17.0,4.0,3.0,4.0,5.0,59.0,72.0,3.0,0.0,0.0,3.0,0.0,0.0,Luiz Felipe,Tomás Ribeiro,Sphephelo Sithole,Danny Henriques,César Sousa,Carraça,Francisco Chico,Safira,Chima Akas,Yohan Tavares,Rafael Camacho,João Monteiro,Pedro Nuno,Andrija Luković,Alioune Ndour,Thibang Phete,Christian Marques,Abel Camará,Sandro,Žiga Frelih,José Carlos,Lucas Cunha,Bilel Aouacheria,Pedro Filipe Barbosa Moreira,Fran Navarro,Kanya Fujimoto,Vitor Carvalho,Rúben Fernandes,Samuel,Talocha,Brian Araújo,Diogo Silva,Emmanuel Hackman,Giorgi Aburjania,Boubacar Hanne,Henrique Gomes,Matheus Bueno,Murilo Costa,Belenenses,Gil Vicente,11.0,8.0,4.0,4.0,3.3,3.2,2.1
48,48,Regular season,6.0,sáb,2021-09-18,20:30,Arouca,0.9,1.8,Guimaraes,1589,Estádio Municipal de Arouca,Nuno Almeida,/pt/partidas/12d4f91c/Arouca-Vitoria-Guimaraes-2021Setembro18-Primeira-Liga,2,2,4-2-3-1,4-3-3,17.0,10.0,6.0,4.0,17.0,20.0,633.0,492.0,17.0,10.0,12.0,8.0,21.0,22.0,1.0,3.0,7.0,7.0,97.0,88.0,1.0,0.0,0.0,2.0,0.0,0.0,Fernando Castro,Quaresma,André Silva,André Bukia,João Othavio Basso,Eboue Kouassi,Pedro Manuel da Silva Moreira,Eugeni Valderrama,Abdoulaye Ba,Thales Oleques,Tiago Araújo,Victor Braga,Brunão,Arsénio Martins Lafuente Nunes,Adílio Santos,Pité,Oday Dabbagh,Or Dasa,Leandro Miguel Pereira Silva,Matouš Trmal,Rafa Soares,Abdul Mumin,Ricardo Quaresma,Marcus Edwards,André André,Falaye Sacko,Oscar Estupiñan,Jorge Filipe Oliveira Fernandes,Tomás Händel,Tiago Silva,Bruno Varela,Rúben Lameiras,Bruno Duarte,André Amaro,Gui Guedes,João Ferreira,Domingos André Ribeiro Almeida,Herculano Nabian,Arouca,Guimaraes,11.0,11.0,5.0,4.0,3.8,3.4,1.9
49,49,Regular season,6.0,dom,2021-09-19,15:30,Vizela,2.5,1.1,Pacos Ferreira,2957,Estádio Do Vizela,Cláudio Ruivo Pereira,/pt/partidas/e86d6566/Vizela-Pacos-de-Ferreira-2021Setembro19-Primeira-Liga,1,1,4-2-3-1,4-2-3-1,14.0,10.0,5.0,4.0,26.0,19.0,640.0,440.0,17.0,14.0,9.0,24.0,26.0,27.0,2.0,1.0,8.0,14.0,67.0,98.0,5.0,0.0,0.0,2.0,1.0,0.0,Charles,Bruno Wilson,Ivanildo Fernandes,Claudemir de Souza,Kiko Bondoso,Marcos Paulo,Samu,Christian Neiva Afonso,Koffi Kouao,Nuno Gonçalo Moreira,Guilherme Schettine,Ivo Gonçalves,Raphael Guzzo,Igor Julião,Alexis Méndez,Kévin Zohi,Mohamed Aidara,Richard Ofori,Tomás Costa Silva,André Ferreira,Vitorino Antunes,Maracás,Hélder Ferreira,Denílson,Jorge Fernando Santos Silva,Luíz Carlos,Lucas Silva,Flávio Ramos,Stephen Eustáquio,Nuno Santos,Igor Vekič,Marco Baixinho,Abbas Ibrahim,Zé Uilton,Juan Delgado,Matchoi Djaló,Lamine Diaby,João Pedro Sousa Silva,Vizela,Pacos Ferreira,21.0,12.0,4.0,3.0,2.3,3.1,2.9
50,50,Regular season,6.0,dom,2021-09-19,18:00,Porto,4.0,0.2,Moreirense,14009,Estádio Do Dragão,António Nobre,/pt/partidas/e99b6444/Porto-Moreirense-2021Setembro19-Primeira-Liga,5,0,4-2-3-1,4-2-3-1,11.0,11.0,6.0,5.0,9.0,16.0,665.0,366.0,15.0,17.0,6.0,4.0,26.0,14.0,1.0,2.0,6.0,11.0,48.0,56.0,2.0,0.0,0.0,3.0,0.0,0.0,Diogo Costa,Iván Marcano,Luis Díaz,Mateus Uribe,Mehdi Taremi,Chancel Mbemba,Vitinha,Wendell,João Mário Lopes,Otávio,Fabio Vieira,Cláudio Ramos,Fábio Cardoso,Francisco Conceição,Pepê,Zaidu Sanusi,Marko Grujić,Jesús Corona,Sérgio Oliveira,Mateus Pasinato,Lazar Rosić,Artur Jorge Marques Amorim,Abdu Conté,Fábio Pacheco,Walterson,Ibrahima Camará,Felipe Pires,Paulo Sérgio Mota,Gonçalo Franco,Rafael Martins,Miguel Oliveira,André Luis,Yan Santos,Sori Mané,Pedro Amador,Filipe Soares,Derik Lacerda,Pablo Santos,Porto,Moreirense,18.0,5.0,7.0,0.0,1.16,6.0,12.0
51,51,Regular season,6.0,dom,2021-09-19,20:30,Estoril,1.1,1.9,Sp Lisbon,1987,Estádio António Coimbra da Mota,Tiago Martins,/pt/partidas/66359d64/Estoril-Sporting-CP-2021Setembro19-Primeira-Liga,0,1,4-2-3-1,3-4-3,10.0,6.0,7.0,9.0,19.0,26.0,549.0,639.0,16.0,22.0,5.0,13.0,23.0,13.0,2.0,2.0,9.0,8.0,52.0,59.0,3.0,0.0,0.0,2.0,0.0,0.0,Daniel Leite,Carles Soria,Lucas Áfrico,Chiquinho,André Franco,Arthur,Leonardo Ruíz,João Gamboa,Joãozinho,Loreintz Rosier,Patrick,Mosquito,Francisco Geraldes,André Clóvis,Rui Fonte,Bruno Lourenço,David Bruno,Nahuel Ferraresi,Romário Baró,Antonio Adán,Matheus Reis,Sebastián Coates,João Palhinha,Matheus Nunes,Nuno Santos,Luís Neto,Rúben Vinagre,Pablo Sarabia,Paulinho,Pedro Porro,João Virgínia,Zouhair Feddal,Bruno Tabata,Jovane Cabral,Manuel Ugarte Ribeiro,Tiago Tomás,Ricardo Esgaio,Geny Catamo,Estoril,Sp Lisbon,7.0,11.0,3.0,4.0,5.25,3.8,1.57
52,52,Regular season,6.0,seg,2021-09-20,19:00,Benfica,2.8,0.6,Boavista,23000,Estádio do Sport Lisboa e Benfica,Hugo Miguel,/pt/partidas/ca6fc917/Benfica-Boavista-2021Setembro20-Primeira-Liga,3,1,3-4-3,3-4-3,16.0,13.0,5.0,4.0,14.0,14.0,722.0,388.0,18.0,24.0,7.0,23.0,8.0,9.0,2.0,1.0,5.0,7.0,70.0,66.0,1.0,0.0,0.0,3.0,0.0,0.0,Odisseas Vlachodimos,Álex Grimaldo,Lucas Veríssimo,Jan Vertonghen,Darwin Núñez,Roman Yaremchuk,Diogo Gonçalves,João Mário,Rafa Silva,Julian Weigl,Nicolás Otamendi,Helton Leite,Everton Soares,Soualiho Meïté,Rodrigo Pinho,Pizzi,Valentino Lazaro,Gedson Fernandes,Gonçalo Ramos,Rafael Bracalli,Kenji Gorré,Gustavo Sauer,Petar Musa,Jackson Porozo,Nathan,Sebastián Pérez Cardona,Yanis Hamache,Rodrigo Abascal,Gaius Makouta,Pedro Malheiro,Alireza Beiranvand,Marcelo Djaló,Miguel Reisinho,Yusupha Njie,Guito,Tomás Reymão,Filipe Ferreira,Paul-Georges Ntep,Benfica,Boavista,8.0,10.0,6.0,6.0,1.16,6.5,12.0
53,53,Regular season,6.0,seg,2021-09-20,21:15,Sp Braga,2.1,0.3,Tondela,5164,Estádio Municipal de Braga,João Pinheiro,/pt/partidas/1a8512d8/Braga-Tondela-2021Setembro20-Primeira-Liga,3,1,4-2-3-1,4-2-3-1,9.0,6.0,5.0,0.0,23.0,7.0,806.0,414.0,15.0,21.0,10.0,10.0,10.0,27.0,2.0,2.0,4.0,12.0,71.0,69.0,2.0,0.0,0.0,4.0,0.0,0.0,Matheus,Yan Couto,Diogo Leite,Nuno Sequeira,Almoatasem Al Musrati,Abel Ruiz,Paulo Oliveira,Ricardo Horta,Chiquinho,Lucas Mineiro,Fábio Martins,Tiago Sá,Vítor Tormena,André Horta,Lucas Piazon,Mario González,Iuri Medeiros,Fabiano,Moura,Babacar Niasse,Neto Borges,Modibo Sagnan,Pedro Borges,Salvador Agra,João Pedro,Jhon Murillo,Manu Hernando,Tiago Melo Almeida,Iker Undabarrena,Daniel,Pedro Trigueira,Juan Manuel Boselli,Renat Dadaşov,Bebeto,Tiago Dantas,Ricardo Miguel Martins Alves,Simone Muratore,Rafael Barbosa,Sp Braga,Tondela,20.0,3.0,7.0,1.0,1.33,4.75,8.0
54,54,Regular season,7.0,sex,2021-09-24,19:00,Sp Lisbon,2.9,0.1,Maritimo,18741,Estádio José Alvalade,João Pinheiro,/pt/partidas/92c4bace/Sporting-CP-Maritimo-2021Setembro24-Primeira-Liga,1,0,3-4-3,3-4-3,14.0,14.0,9.0,0.0,43.0,3.0,849.0,421.0,23.0,24.0,14.0,10.0,5.0,32.0,0.0,1.0,6.0,16.0,80.0,79.0,4.0,0.0,0.0,6.0,0.0,1.0,Antonio Adán,Zouhair Feddal,Sebastián Coates,João Palhinha,Matheus Nunes,Nuno Santos,Luís Neto,Rúben Vinagre,Pablo Sarabia,Paulinho,Pedro Porro,João Virgínia,Matheus Reis,Bruno Tabata,Jovane Cabral,Manuel Ugarte Ribeiro,Tiago Tomás,Ricardo Esgaio,Daniel Bragança,Paulo Victor Vidotti,Cláudio Winck,Zainadine Júnior,André Vidigal,Iván Rossi,Xadas,Jorge Sáenz,Ricardinho,Fábio China,Pedro Pelágio,Léo Andrade,João Miguel Macedo Silva,Moises Castillo,Rafik Guitane,Ali Alipour,Edgar Costa,Diogo Mendes,Rúben Macedo,Clésio Baúque,Sp Lisbon,Maritimo,25.0,4.0,7.0,0.0,1.22,5.5,13.0
55,55,Regular season,7.0,sex,2021-09-24,21:15,Gil Vicente,1.2,1.5,Porto,5258,Estádio Cidade de Barcelos,Artur Soares Dias,/pt/partidas/22f5615a/Gil-Vicente-FC-Porto-2021Setembro24-Primeira-Liga,1,2,4-3-3,4-2-3-1,15.0,17.0,2.0,6.0,13.0,29.0,487.0,764.0,19.0,13.0,7.0,8.0,34.0,18.0,1.0,1.0,11.0,5.0,60.0,72.0,5.0,0.0,0.0,4.0,0.0,0.0,Žiga Frelih,José Carlos,Lucas Cunha,Pedro Filipe Barbosa Moreira,Fran Navarro,Kanya Fujimoto,Vitor Carvalho,Rúben Fernandes,Samuel,Talocha,Murilo Costa,Brian Araújo,Emmanuel Hackman,Bilel Aouacheria,Antoine Léautey,Giorgi Aburjania,Boubacar Hanne,Henrique Gomes,Matheus Bueno,Diogo Costa,Iván Marcano,Luis Díaz,Mateus Uribe,Mehdi Taremi,Jesús Corona,Chancel Mbemba,Vitinha,Wendell,Otávio,Fabio Vieira,Cláudio Ramos,Fábio Cardoso,Francisco Conceição,Pepê,Marko Grujić,João Mário Lopes,Sérgio Oliveira,Toni Martínez,Gil Vicente,Porto,8.0,16.0,4.0,8.0,7.5,4.5,1.4
56,56,Regular season,7.0,sáb,2021-09-25,15:30,Moreirense,1.9,0.7,Arouca,863,P.D. Comendador Joaquim de Almeida Freit...,Fábio Oliveira Melo,/pt/partidas/e9a113e9/Moreirense-Arouca-2021Setembro25-Primeira-Liga,2,1,4-2-3-1,4-2-3-1,20.0,7.0,5.0,9.0,16.0,33.0,398.0,671.0,17.0,11.0,13.0,11.0,38.0,18.0,0.0,1.0,9.0,6.0,71.0,114.0,5.0,0.0,0.0,2.0,0.0,0.0,Kewin,Lazar Rosić,Abdu Conté,Fábio Pacheco,Walterson,Ibrahima Camará,André Luis,Felipe Pires,Steven Vitória,Paulo Sérgio Mota,Rafael Martins,Miguel Oliveira,Rodrigo Conceição,Artur Jorge Marques Amorim,Yan Santos,Sori Mané,Pedro Amador,Filipe Soares,Derik Lacerda,Fernando Castro,André Silva,Arsénio Martins Lafuente Nunes,André Bukia,João Othavio Basso,Pité,Pedro Manuel da Silva Moreira,Leandro Miguel Pereira Silva,Tiago Esgaio,Abdoulaye Ba,Thales Oleques,Victor Braga,Brunão,Adílio Santos,Oday Dabbagh,Eboue Kouassi,Or Dasa,Joel Ferreira,Marco Soares,Moreirense,Arouca,8.0,17.0,3.0,5.0,2.1,3.2,3.4
57,57,Regular season,7.0,sáb,2021-09-25,18:00,Guimaraes,1.7,2.9,Benfica,14222,Estádio Dom Afonso Henriques,Luís Godinho,/pt/partidas/18e7effd/Vitoria-Guimaraes-Benfica-2021Setembro25-Primeira-Liga,1,3,4-3-3,3-4-3,16.0,12.0,5.0,5.0,28.0,17.0,538.0,644.0,11.0,16.0,14.0,10.0,16.0,26.0,4.0,1.0,13.0,9.0,82.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,Matouš Trmal,Toni Borevkovic,Rafa Soares,Abdul Mumin,Ricardo Quaresma,Marcus Edwards,André André,Falaye Sacko,Oscar Estupiñan,Alfa Semedo,Tiago Silva,Bruno Varela,Rúben Lameiras,Bruno Duarte,André Amaro,Rochinha,Sílvio,Domingos André Ribeiro Almeida,Tomás Händel,Odisseas Vlachodimos,Álex Grimaldo,Lucas Veríssimo,Jan Vertonghen,Darwin Núñez,Roman Yaremchuk,João Mário,Valentino Lazaro,Rafa Silva,Julian Weigl,Nicolás Otamendi,Helton Leite,Everton Soares,Soualiho Meïté,Rodrigo Pinho,Pizzi,Gil Bastião Dias,André Almeida,Gedson Fernandes,Guimaraes,Benfica,13.0,16.0,3.0,4.0,5.0,3.8,1.61
58,58,Regular season,7.0,sáb,2021-09-25,20:30,Tondela,1.0,1.4,Famalicao,439,Estádio João Cardoso,João Ferreira,/pt/partidas/08fc6353/Tondela-Famalicao-2021Setembro25-Primeira-Liga,3,2,4-2-3-1,4-2-3-1,20.0,11.0,3.0,3.0,12.0,10.0,580.0,490.0,15.0,14.0,7.0,11.0,13.0,19.0,4.0,2.0,13.0,12.0,68.0,73.0,6.0,0.0,0.0,5.0,1.0,0.0,Pedro Trigueira,Neto Borges,Modibo Sagnan,Pedro Borges,Salvador Agra,João Pedro,Jhon Murillo,Manu Hernando,Renat Dadaşov,Tiago Melo Almeida,Iker Undabarrena,Babacar Niasse,Juan Manuel Boselli,Bebeto,Naoufel Khacef,Tiago Dantas,Daniel,Simone Muratore,Rafael Barbosa,Dalberson,Alex,Adrián Marín,Charles Pickel,Ivo Rodrigues,Marcos Paulo,Ivan Jaime Pajuelo,Simon Banza,Alexandre Penetra,Pedro Rodrigues,Diogo Figueiras,Ivan Zlobin,Rúben Lima,Pedro Brazão,Bruno Nascimento,Dylan Batubinsika,David Tavares,Hernán De La Fuente,Pedro David Rosendo Marques,Tondela,Famalicao,11.0,14.0,4.0,7.0,3.4,3.1,2.2
59,59,Regular season,7.0,dom,2021-09-26,17:00,Santa Clara,1.3,0.8,Sp Braga,1033,Estádio de São Miguel,Fábio Veríssimo,/pt/partidas/a64fd9b7/Santa-Clara-Braga-2021Setembro26-Primeira-Liga,1,1,4-2-3-1,3-4-3,11.0,20.0,5.0,5.0,19.0,19.0,592.0,710.0,16.0,16.0,12.0,14.0,21.0,22.0,3.0,0.0,6.0,8.0,98.0,94.0,3.0,0.0,0.0,1.0,0.0,0.0,Marco André Rocha Pereira,Mikel Villanueva,Mansur,Allano,Anderson Carvalho,Lincoln,Cristian González,Hidemasa Morita,Luiz Phellype,Rui Costa,Pierre Sagna,Ricardo Fernandes,João Afonso,Mohamed Bouldini,Paulo Henrique Rodrigues Cabral,Julio Romão,Rui Filipe Cunha Correia,Crysan,Jean Patric,Matheus,Diogo Leite,Nuno Sequeira,Almoatasem Al Musrati,André Horta,Paulo Oliveira,Mario González,Ricardo Horta,Iuri Medeiros,Fabiano,Galeno,Tiago Sá,Yan Couto,Vítor Tormena,Lucas Piazon,Chiquinho,Lucas Mineiro,Moura,André Castro,Santa Clara,Sp Braga,15.0,10.0,3.0,4.0,4.0,3.4,1.9
60,60,Regular season,7.0,dom,2021-09-26,20:30,Portimonense,0.6,1.0,Vizela,1627,Estádio do Portimonense SC,António Nobre,/pt/partidas/b2f69e5e/Portimonense-Vizela-2021Setembro26-Primeira-Liga,0,0,4-3-3,4-2-3-1,17.0,14.0,7.0,5.0,34.0,17.0,644.0,451.0,10.0,17.0,11.0,12.0,15.0,23.0,2.0,1.0,14.0,11.0,106.0,81.0,4.0,0.0,0.0,2.0,0.0,0.0,Samuel Portugal,Lucas Possignolo,Willyan,Fali Candé,Lucas Fernandes,Anderson,Fahd Moufi,Wilinton Aponzá,Pedrão,Iván Angulo,Carlinhos,Payam Niazmand,Ewerton,Fabrício dos Santos Messias,Luquinha,Pedro Sá,Filipe Relvas,Achraf Lazaar,Aylton Boa Morte,Charles,Bruno Wilson,Ivanildo Fernandes,Claudemir de Souza,Marcos Paulo,Samu,Kévin Zohi,Christian Neiva Afonso,Koffi Kouao,Nuno Gonçalo Moreira,Guilherme Schettine,Ivo Gonçalves,Raphael Guzzo,Cassiano,Kiko Bondoso,Igor Julião,Alexis Méndez,Mohamed Aidara,Richard Ofori,Portimonense,Vizela,14.0,14.0,4.0,2.0,2.25,3.25,3.2
61,61,Regular season,7.0,seg,2021-09-27,19:00,Pacos Ferreira,1.5,1.9,Belenenses,1307,Estádio da Capital do Móvel,Nuno Almeida,/pt/partidas/1765d893/Pacos-de-Ferreira-Belenenses-SAD-2021Setembro27-Primeira-Liga,2,2,4-2-3-1,3-5-2,16.0,21.0,3.0,2.0,13.0,12.0,514.0,426.0,9.0,17.0,12.0,17.0,23.0,7.0,3.0,0.0,11.0,14.0,78.0,99.0,3.0,0.0,0.0,1.0,0.0,0.0,André Ferreira,Marco Baixinho,Vitorino Antunes,Maracás,Hélder Ferreira,Zé Uilton,Denílson,Luíz Carlos,Lucas Silva,Rui Pires,Nuno Santos,Igor Vekič,Nuno Lima,Abbas Ibrahim,Juan Delgado,Matchoi Djaló,Luís Alves,Mota,Flávio Ramos,Luiz Felipe,Tomás Ribeiro,Afonso Sousa,Danny Henriques,César Sousa,Carraça,Alioune Ndour,Thibang Phete,Safira,Chima Akas,Yohan Tavares,João Monteiro,Pedro Nuno,Sphephelo Sithole,Andrija Luković,Francisco Chico,Christian Marques,Abel Camará,Trova Boni,Pacos Ferreira,Belenenses,20.0,11.0,5.0,2.0,1.7,3.5,5.25
