,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away
24,3,dom,2018-08-26,18:30,Tondela,0.7,1.6,Rio Ave,2045,Estádio João Cardoso,Manuel Mota,/pt/partidas/db3041e4/Tondela-Rio-Ave-2018Agosto26-Primeira-Liga,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,dom,2018-08-26,20:30,Braga,1.6,0.8,Aves,10103,Estádio Municipal de Braga,Manuel Oliveira,/pt/partidas/d856c67c/Braga-Aves-2018Agosto26-Primeira-Liga,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,seg,2018-08-27,20:15,Moreirense,1.0,1.0,B-SAD,1400,P.D. Comendador Joaquim de Almeida Freit...,Rui Oliveira,/pt/partidas/bd769be0/Moreirense-Belenenses-SAD-2018Agosto27-Primeira-Liga,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,sex,2018-08-31,19:00,Chaves,1.0,0.5,Braga,5983,Estádio Municipal Eng. Manuel Branco Tei...,Luís Godinho,/pt/partidas/0ba5f531/Chaves-Braga-2018Agosto31-Primeira-Liga,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,sex,2018-08-31,21:15,Vitória,0.8,0.3,Tondela,20128,Estádio Dom Afonso Henriques,Nuno Almeida,/pt/partidas/e3c07f96/Vitoria-Guimaraes-Tondela-2018Agosto31-Primeira-Liga,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,sáb,2018-09-01,16:30,B-SAD,0.4,0.3,Vitória Setúbal,1449,Estádio Nacional,Manuel Mota,/pt/partidas/f18eb094/Belenenses-SAD-Vitoria-Setubal-2018Setembro1-Primeira-Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4,sáb,2018-09-01,18:00,Santa Clara,1.5,1.1,Boavista,4448,Estádio de São Miguel,António Nobre,/pt/partidas/b30941cd/Santa-Clara-Boavista-2018Setembro1-Primeira-Liga,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4,sáb,2018-09-01,21:00,Sporting CP,2.1,1.0,Feirense,38688,Estádio José Alvalade,Rui Oliveira,/pt/partidas/4c5d4ebd/Sporting-CP-Feirense-2018Setembro1-Primeira-Liga,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,dom,2018-09-02,16:00,Rio Ave,1.0,1.0,Portimonense,2539,Estádio do Rio Ave Futebol Clube,Artur Soares Dias,/pt/partidas/32b4bf73/Rio-Ave-Portimonense-2018Setembro2-Primeira-Liga,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,dom,2018-09-02,16:00,Aves,1.1,1.2,Marítimo,1272,Estádio Clube Desportivo das Aves,João Pinheiro,/pt/partidas/708f4ebc/Aves-Maritimo-2018Setembro2-Primeira-Liga,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,dom,2018-09-02,18:30,Nacional,0.3,2.3,Benfica,4793,Estádio da Madeira,Fábio Costa,/pt/partidas/e6426587/Nacional-Benfica-2018Setembro2-Primeira-Liga,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,dom,2018-09-02,20:30,Porto,2.3,0.3,Moreirense,43316,Estádio Do Dragão,Hélder Malheiro,/pt/partidas/8b00f45d/Porto-Moreirense-2018Setembro2-Primeira-Liga,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,sex,2018-09-21,20:30,Boavista,1.3,1.4,Chaves,4565,Estádio do Bessa Século XXI,João Pinheiro,/pt/partidas/92e65c20/Boavista-Chaves-2018Setembro21-Primeira-Liga,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5,sáb,2018-09-22,15:30,Santa Clara,1.3,1.8,Rio Ave,3199,Estádio de São Miguel,João Santos Capela,/pt/partidas/1cf74348/Santa-Clara-Rio-Ave-2018Setembro22-Primeira-Liga,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,sáb,2018-09-22,19:00,Marítimo,0.4,1.1,B-SAD,6137,Estádio dos Barreiros,Hugo Miguel,/pt/partidas/7d06b584/Maritimo-Belenenses-SAD-2018Setembro22-Primeira-Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,sáb,2018-09-22,21:00,Vitória Setúbal,0.5,0.8,Porto,10628,Estádio do Bonfim,Manuel Oliveira,/pt/partidas/e08f4838/Vitoria-Setubal-Porto-2018Setembro22-Primeira-Liga,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,dom,2018-09-23,16:00,Feirense,0.2,1.1,Nacional,3178,Estádio Marcolino de Castro,Nuno Almeida,/pt/partidas/29ac4680/Feirense-Nacional-2018Setembro23-Primeira-Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,dom,2018-09-23,16:00,Tondela,1.4,1.0,Moreirense,1710,Estádio João Cardoso,Tiago Martins,/pt/partidas/c5b46189/Tondela-Moreirense-2018Setembro23-Primeira-Liga,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,dom,2018-09-23,18:30,Benfica,3.0,1.1,Aves,53606,Estádio do Sport Lisboa e Benfica,Rui Costa,/pt/partidas/75c1f83b/Benfica-Aves-2018Setembro23-Primeira-Liga,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5,dom,2018-09-23,20:30,Portimonense,1.0,0.4,Vitória,3129,Estádio do Portimonense SC,Luís Godinho,/pt/partidas/64faf7f0/Portimonense-Vitoria-Guimaraes-2018Setembro23-Primeira-Liga,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
